ds,y
2016-07-20,4.28114
2016-07-21,4.3034
2016-07-22,4.3015799999999995
2016-07-25,4.30616
2016-07-26,4.306780000000001
2016-07-27,4.30388
2016-07-28,4.30476
2016-07-29,4.2907399999999996
2016-08-01,4.313599999999999
2016-08-02,4.3228
2016-08-03,4.3635
2016-08-04,4.2277000000000005
2016-08-05,4.1604399999999995
2016-08-08,4.14424
2016-08-09,4.0936
2016-08-10,4.076919999999999
2016-08-11,4.067740000000001
2016-08-12,4.0956
2016-08-15,4.07796
2016-08-16,4.12438
2016-08-17,4.1964
2016-08-18,4.23618
2016-08-19,4.21472
2016-08-22,4.22164
2016-08-23,4.2267
2016-08-24,4.2880400000000005
2016-08-25,4.26264
2016-08-26,4.24264
2016-08-29,4.26622
2016-08-30,4.2598199999999995
2016-08-31,4.24876
2016-09-01,4.31208
2016-09-02,4.31884
2016-09-05,4.3567599999999995
2016-09-06,4.3512
2016-09-08,4.2507399999999995
2016-09-09,4.32944
2016-09-12,4.37094
2016-09-13,4.35084
2016-09-14,4.38534
2016-09-15,4.40082
2016-09-16,4.32388
2016-09-19,4.26434
2016-09-20,4.21854
2016-09-21,4.20632
2016-09-22,4.19214
2016-09-23,4.1776
2016-09-26,4.201099999999999
2016-09-27,4.20446
2016-09-28,4.22302
2016-09-29,4.18874
2016-09-30,4.2192799999999995
2016-10-03,4.15346
2016-10-04,4.10782
2016-10-05,4.1235599999999994
2016-10-06,4.08548
2016-10-07,3.9935
2016-10-10,3.97922
2016-10-11,3.9368000000000003
2016-10-13,3.9135599999999995
2016-10-14,3.8857399999999997
2016-10-17,3.88666
2016-10-18,3.9161799999999998
2016-10-19,3.9097
2016-10-20,3.8693
2016-10-21,3.85272
2016-10-24,3.8266800000000005
2016-10-25,3.79204
2016-10-26,3.81704
2016-10-27,3.83688
2016-10-28,3.86768
2016-10-31,3.8683799999999997
2016-11-01,3.9202399999999997
2016-11-03,4.023020000000001
2016-11-04,4.0592
2016-11-07,3.97504
2016-11-08,3.9664
2016-11-09,3.99908
2016-11-10,4.12164
2016-11-11,4.340120000000001
2016-11-14,4.30704
2016-11-16,4.25206
2016-11-17,4.24292
2016-11-18,4.1952799999999995
2016-11-21,4.17108
2016-11-22,4.16214
2016-11-23,4.2076
2016-11-24,4.2369
2016-11-25,4.26506
2016-11-28,4.218
2016-11-29,4.25066
2016-11-30,4.234319999999999
2016-12-01,4.3437600000000005
2016-12-02,4.37846
2016-12-05,4.4013599999999995
2016-12-06,4.37758
2016-12-07,4.27022
2016-12-08,4.294759999999999
2016-12-09,4.26192
2016-12-12,4.26186
2016-12-13,4.2398
2016-12-14,4.2
2016-12-15,4.222379999999999
2016-12-16,4.19102
2016-12-19,4.18686
2016-12-20,4.1432199999999995
2016-12-21,4.121560000000001
2016-12-22,4.10654
2016-12-23,4.00542
2016-12-26,4.018800000000001
2016-12-27,4.01694
2016-12-28,4.0026399999999995
2016-12-29,3.9898200000000004
2016-12-30,4.02466
2017-01-02,4.0231
2017-01-03,4.0037199999999995
2017-01-04,3.97348
2017-01-05,3.9577199999999997
2017-01-06,3.95736
2017-01-09,3.89912
2017-01-10,3.8802
2017-01-11,3.8959200000000003
2017-01-12,3.88836
2017-01-13,3.89508
2017-01-16,3.88964
2017-01-17,3.95856
2017-01-18,3.9597
2017-01-19,3.9532800000000003
2017-01-20,3.92458
2017-01-23,3.93678
2017-01-24,3.9443399999999995
2017-01-25,3.9869399999999997
2017-01-26,4.002
2017-01-27,3.9657600000000004
2017-01-30,3.9201799999999998
2017-01-31,3.91016
2017-02-01,3.9806
2017-02-02,3.9270400000000003
2017-02-03,3.9016999999999995
2017-02-06,3.88586
2017-02-07,3.87538
2017-02-08,3.9099600000000003
2017-02-09,3.91558
2017-02-10,3.8824199999999998
2017-02-13,3.9003
2017-02-14,3.86606
2017-02-15,3.82126
2017-02-16,3.8135199999999996
2017-02-17,3.84568
2017-02-20,3.8562800000000004
2017-02-21,3.85308
2017-02-22,3.83946
2017-02-23,3.83678
2017-02-24,3.88054
2017-03-01,3.8161
2017-03-02,3.82504
2017-03-03,3.8412999999999995
2017-03-06,3.8153599999999996
2017-03-07,3.80196
2017-03-08,3.83148
